Run,GEO,Name,Chronological_Age_in_Hours,Median_Lifespan_in_Days,Median_Lifespan_in_Hours,Correction_Factor,Biological_Age_in_Hours,Biological_Age_Days,Corrected_Bio_Age_Days,Chronological_Age_Days,Strain,Treatment,AvgSpotLen,Instrument,LibraryLayout,LibrarySelection,RNA_interference,FUDR
SRR8280666,PRJNA508378,N2 + sperm on day 3,96,25,600,0.62,59.52,2.48,2.4799982496,4,N2,received male sperm (mated) during a 2 hour interaction with him-5 males on day 3 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8280667,PRJNA508378,N2 + sperm on day 3,96,25,600,0.62,59.52,2.48,2.4799982496,4,N2,received male sperm (mated) during a 2 hour interaction with him-5 males on day 3 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8280674,PRJNA508378,N2 + sperm on day 3,96,25,600,0.62,59.52,2.48,2.4799982496,4,N2,received male sperm (mated) during a 2 hour interaction with him-5 males on day 3 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8280675,PRJNA508378,N2 + sperm on day 3,96,25,600,0.62,59.52,2.48,2.4799982496,4,N2,received male sperm (mated) during a 2 hour interaction with him-5 males on day 3 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8280668,PRJNA508378,fem-1 (hc17) + sperm on day 7,192,24,576,0.6458333333,124,5.1666666667,5.1664884877,8,fem-1 (hc17),received male sperm (mated) during a 2 hour interaction with him-5 males on day 7 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8280669,PRJNA508378,fem-1 (hc17) + sperm on day 7,192,24,576,0.6458333333,124,5.1666666667,5.1664884877,8,fem-1 (hc17),received male sperm (mated) during a 2 hour interaction with him-5 males on day 7 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8280658,PRJNA508378,N2 + sperm on day 7,192,21,504,0.7380952381,141.7142857143,5.9047619048,5.9042264729,8,N2,received male sperm (mated) during a 2 hour interaction with him-5 males on day 7 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8280659,PRJNA508378,N2 + sperm on day 7,192,21,504,0.7380952381,141.7142857143,5.9047619048,5.9042264729,8,N2,received male sperm (mated) during a 2 hour interaction with him-5 males on day 7 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8280660,PRJNA508378,N2 + sperm on day 7,192,21,504,0.7380952381,141.7142857143,5.9047619048,5.9042264729,8,N2,received male sperm (mated) during a 2 hour interaction with him-5 males on day 7 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8280661,PRJNA508378,N2 + sperm on day 7,192,21,504,0.7380952381,141.7142857143,5.9047619048,5.9042264729,8,N2,received male sperm (mated) during a 2 hour interaction with him-5 males on day 7 of life,152,NextSeq 500,PAIRED,Oligo-dT,None,None
SRR8240860,GSE122892,fer-15(b26ts),24,17.85,428.4,0.8683473389,20.8403361345,0.8683473389,0.8683472706,1,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240861,GSE122892,fer-15(b26ts),24,17.85,428.4,0.8683473389,20.8403361345,0.8683473389,0.8683472706,1,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240862,GSE122892,fer-15(b26ts),24,17.85,428.4,0.8683473389,20.8403361345,0.8683473389,0.8683472706,1,fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240881,GSE122892,daf-16(mu86);fer-15(b26ts),24,15.33,367.92,1.0110893673,24.2661448141,1.0110893673,1.0110892748,1,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240882,GSE122892,daf-16(mu86);fer-15(b26ts),24,15.33,367.92,1.0110893673,24.2661448141,1.0110893673,1.0110892748,1,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
SRR8240883,GSE122892,daf-16(mu86);fer-15(b26ts),24,15.33,367.92,1.0110893673,24.2661448141,1.0110893673,1.0110892748,1,daf-16(mu86);fer-15(b26ts),None,300,HiSeq X Ten,PAIRED,cDNA,None,None
